start,stop,name,tier
102.22940034164147,102.22940034164147,%,Rhythmic
102.35615443001754,102.35615443001754,<,Rhythmic
102.53763184531184,102.53763184531184,>,Rhythmic
102.65915690019641,102.65915690019641,<,Rhythmic
102.90220700996557,102.90220700996557,>,Rhythmic
103.01498109400077,103.01498109400077,<,Rhythmic
103.14525711973471,103.14525711973471,>,Rhythmic
103.52188910576425,103.52188910576425,<,Rhythmic
103.7667569312839,103.7667569312839,>,Rhythmic
103.96227351985517,103.96227351985517,%,Rhythmic
110.27439364932934,110.27439364932934,%,Rhythmic
110.41230134234178,110.41230134234178,<,Rhythmic
110.60408593295858,110.60408593295858,>,Rhythmic
110.71461046868991,110.71461046868991,<,Rhythmic
110.9746690703419,110.9746690703419,>,Rhythmic
111.10630367117808,111.10630367117808,<,Rhythmic
111.23151707197349,111.23151707197349,>,Rhythmic
111.61036787438007,111.61036787438007,<,Rhythmic
111.81745157569554,111.81745157569554,>,Rhythmic
111.99118859336338,111.99118859336338,%,Rhythmic
118.14497249353529,118.14497249353529,%,Rhythmic
118.27277896367127,118.27277896367127,<,Rhythmic
118.43527087221288,118.43527087221288,>,Rhythmic
118.54041269538686,118.54041269538686,<,Rhythmic
118.8112325429562,118.8112325429562,>,Rhythmic
118.892478497227,118.892478497227,<,Rhythmic
119.03107453686543,119.03107453686543,>,Rhythmic
119.46438629297639,119.46438629297639,<,Rhythmic
119.67944911310498,119.67944911310498,>,Rhythmic
119.84867508933979,119.84867508933979,%,Rhythmic
125.77518584746335,125.77518584746335,%,Rhythmic
125.88575424727348,125.88575424727348,<,Rhythmic
126.0710274750796,126.0710274750796,>,Rhythmic
126.17803873596762,126.17803873596762,<,Rhythmic
126.35372886578376,126.35372886578376,>,Rhythmic
126.51504434861496,126.51504434861496,<,Rhythmic
126.64761053747624,126.64761053747624,>,Rhythmic
127.06447530004002,127.06447530004002,<,Rhythmic
127.1922499399063,127.1922499399063,>,Rhythmic
127.48330001852756,127.48330001852756,%,Rhythmic
137.94771115634558,137.94771115634558,%,Rhythmic
138.04731716258166,138.04731716258166,<,Rhythmic
138.23478596251684,138.23478596251684,>,Rhythmic
138.35451393558466,138.35451393558466,<,Rhythmic
138.5687639926534,138.5687639926534,>,Rhythmic
138.68219049345453,138.68219049345453,<,Rhythmic
138.80979530685576,138.80979530685576,>,Rhythmic
139.20363732352627,139.20363732352627,<,Rhythmic
139.42418885286173,139.42418885286173,>,Rhythmic
139.6324952556989,139.6324952556989,%,Rhythmic
143.29355587452403,143.29355587452403,%,Rhythmic
143.3980435820394,143.3980435820394,<,Rhythmic
143.58455346795967,143.58455346795967,>,Rhythmic
143.69335090141314,143.69335090141314,<,Rhythmic
143.93892225120814,143.93892225120814,>,Rhythmic
144.0617079261056,144.0617079261056,<,Rhythmic
144.19537334434847,144.19537334434847,>,Rhythmic
144.58474299177456,144.58474299177456,<,Rhythmic
144.8030847226386,144.8030847226386,>,Rhythmic
144.95575415068336,144.95575415068336,%,Rhythmic
150.51303930462595,150.51303930462595,%,Rhythmic
150.61543712812175,150.61543712812175,<,Rhythmic
150.78534851109268,150.78534851109268,>,Rhythmic
150.90147695040997,150.90147695040997,<,Rhythmic
151.13803961424833,151.13803961424833,>,Rhythmic
151.2787402835901,151.2787402835901,<,Rhythmic
151.40243317971473,151.40243317971473,>,Rhythmic
151.82917367134473,151.82917367134473,<,Rhythmic
152.01316685433014,152.01316685433014,>,Rhythmic
152.16658799747734,152.16658799747734,%,Rhythmic
157.52491541543915,157.52491541543915,%,Rhythmic
157.64297810570247,157.64297810570247,<,Rhythmic
157.83861695527722,157.83861695527722,>,Rhythmic
157.95472781721995,157.95472781721995,<,Rhythmic
158.1503666667947,158.1503666667947,>,Rhythmic
158.26170584947948,158.26170584947948,<,Rhythmic
158.39849398820655,158.39849398820655,>,Rhythmic
159.05582796621366,159.05582796621366,>,Rhythmic
159.22594632814736,159.22594632814736,%,Rhythmic
164.25729466985658,164.25729466985658,%,Rhythmic
164.36691417284604,164.36691417284604,<,Rhythmic
164.537055332249,164.537055332249,>,Rhythmic
164.63698711135308,164.63698711135308,<,Rhythmic
164.86328929844373,164.86328929844373,>,Rhythmic
164.9674309601789,164.9674309601789,<,Rhythmic
165.09274572442757,165.09274572442757,>,Rhythmic
165.47361217299937,165.47361217299937,<,Rhythmic
165.72179973579821,165.72179973579821,>,Rhythmic
165.92663585093067,165.92663585093067,%,Rhythmic
